distance,altitude,latitude,longitude
517.653816830262,8.4,52.708495,4.698885
521.5880922553498,8.4,52.708475,4.698933
525.5223688988075,8.3,52.708455,4.698981
529.4566467613425,8.3,52.708435,4.699029
533.4468434477209,8.3,52.708415,4.699078
537.3811237477009,8.2,52.708395,4.699126
541.3103394915224,8.2,52.708376,4.699175
545.1827582375784,8.1,52.708357,4.699223
549.0551781616256,8.1,52.708338,4.699271
552.9275992618983,8,52.708319,4.699319
556.7435749883314,7.9,52.7083,4.699366
560.4420402995345,7.9,52.708282,4.699412
564.1405066841011,7.8,52.708264,4.699458
567.9004066687513,7.8,52.708245,4.699504
571.5988752564143,7.7,52.708227,4.69955
575.3587774086706,7.6,52.708208,4.699596
579.1186806739723,7.5,52.708189,4.699642
582.9346642322724,7.4,52.70817,4.699689
